Keyfield,Keyfield,Sample Year,Sample Period,Agency,Date,Season,Station ID,Time,Depth,Latitude,Longitude,Temperature (C) ,Salinity,Total Depth (m),Secchi Depth (m),Secchi as % of Total,Sample Depth (m),Sample Depth as % of Total,pH,Dissolved Oxygen (mg/L),Vol TP filtered (ml),Vol Chl filtered (L),Chl a (ug/L),Chl a EXO (ug/L),Phaeophytin (ug/L),NH4  (uM),PO4  (uM),N+N  (uM),NO3  (uM),NO2  (uM),Si  (uM),DIN  (uM),TDP  (uM),DOP  (uM),TP  (uM)
10CGW-01,10CGW-01,2016-2017,A,Ransom Everglades,10/14/2016,Wet,CGW-01,,Surface,25.70397,-80.24726,9999,31,99.99,3.4,0.85,2,0.5,8.05,9999,9999,0.3,0.92,9999,1.05,2.171,0.135,0.032,0,0.497,4.399,2.668,9999,9999,9999
11CGW-01,11CGW-01,2016-2017,A,Ransom Everglades,11/14/2016,Dry,CGW-01,11:00,Surface,25.70397,-80.24726,27.4,28.5,3.7,3,0.81,1.85,0.5,7.93,9999,9999,0.3,1.34,9999,0.99,5.338,0.158,0.871,0,1.012,5.527,6.35,9999,9999,9999
12CGW-01,12CGW-01,2016-2017,A,Ransom Everglades,12/14/2016,Dry,CGW-01,13:13,Surface,25.70397,-80.24726,31,29.5,3.4,2.95,0.87,1.5,0.44,7.83,9999,9999,0.3,1.08,9999,1.11,5.833,0.171,8.875,8.241,0.634,18.743,14.708,0.423,0.252,9999
1CGW-01,1CGW-01,2016-2017,A,Ransom Everglades,1/13/2017,Dry,CGW-01,12:46,Surface,25.70397,-80.24726,21.7,33,4.5,2.74,0.61,2,0.44,8.03,9999,9999,0.3,1.68,9999,0.99,2.2,0.143,2.648,2.252,0.396,7.162,4.848,0.357,0.214,9999
2CGW-01,2CGW-01,2016-2017,A,Ransom Everglades,2/10/2017,Dry,CGW-01,10:17,Surface,25.70397,-80.24726,24.5,32,3.6,3.5,0.97,1.5,0.42,8.07,9999,9999,0.1,0.34,9999,0.3,3.383,0.103,2.194,1.962,0.232,8.108,5.577,1.34,1.237,9999
3CGW-01,3CGW-01,2016-2017,A,Ransom Everglades,3/14/2017,Dry,CGW-01,14:26,Surface,25.70397,-80.24726,23,35,3.5,9999,9999,1.5,0.43,8.01,9999,9999,0.1,1.47,9999,0.48,5.971,0.004,3.368,3.083,0.285,7.635,9.339,0.875,0.871,9999
4CGW-01,4CGW-01,2016-2017,A,UMASS,4/13/2017,Dry,CGW-01,12:45,Surface,25.70397,-80.24726,25.9,35,4.7,2.1,0.45,2,0.43,8.05,9999,9999,0.1,1.76,9999,0.69,1.585,0.029,2.6,2.329,0.271,9.898,4.185,9999,9999,9999
5CGW-01,5CGW-01,2016-2017,A,Ransom Everglades,5/9/2017,Dry,CGW-01,11:15,Surface,25.70397,-80.24726,27.3,34,3.1,2.25,0.73,1.5,0.48,7.98,5.45,9999,0.1,2.82,9999,0.82,4.541,0.111,2.383,2.101,0.282,11.645,6.924,9999,9999,9999
6CGW-01 surface A,6CGW-01 Surf A,2016-2017,A,Ransom Everglades,6/8/2017,Wet,CGW-01,12:45,Surface,25.70397,-80.24726,27.9,32.5,2.9,2.5,0.86,0.5,0.17,9999,3.81,9999,0.1,1.32,9999,0.6,6.039,0.132,6.146,5.67,0.476,23.206,12.185,9999,9999,9999
6CGW-01 surface B,6CGW-01 Surf B,2016-2017,A,Ransom Everglades,6/23/2017,Wet,CGW-01,11:45,Surface,25.70397,-80.24726,32.1,20,3,1.5,0.5,0.5,0.17,9.13,9999,9999,0.1,4.46,9999,1.38,4.094,0.076,21.326,20.523,0.803,39.037,25.42,9999,9999,9999
